Age,Workclass,Education-Num,Marital Status,Occupation,Relationship,Race,Sex,Capital Gain,Capital Loss,Hours per week,Country,Probability
0,6,13.0,4,0,0,1,1,2174.0,0.0,40.0,38,0
1,5,13.0,2,3,4,1,1,0.0,0.0,13.0,38,0
0,3,9.0,0,5,0,1,1,0.0,0.0,40.0,38,0
1,3,7.0,2,5,4,0,1,0.0,0.0,40.0,38,0
0,3,13.0,2,9,5,0,0,0.0,0.0,40.0,4,0
0,3,14.0,2,3,5,1,0,0.0,0.0,40.0,38,0
1,3,5.0,3,7,0,0,0,0.0,0.0,16.0,22,0
1,5,9.0,2,3,4,1,1,0.0,0.0,45.0,38,1
0,3,14.0,4,9,0,1,0,14084.0,0.0,50.0,38,1
1,3,13.0,2,3,4,1,1,5178.0,0.0,40.0,38,1
0,3,10.0,2,3,4,0,1,0.0,0.0,80.0,38,1
0,6,13.0,2,9,4,0,1,0.0,0.0,40.0,18,1
0,3,13.0,4,0,3,1,0,0.0,0.0,30.0,38,0
0,3,12.0,4,11,0,0,1,0.0,0.0,50.0,38,0
0,3,4.0,2,13,4,0,1,0.0,0.0,45.0,25,0
0,5,9.0,4,4,3,1,1,0.0,0.0,35.0,38,0
0,3,9.0,4,6,1,1,1,0.0,0.0,40.0,38,0
0,3,7.0,2,11,4,1,1,0.0,0.0,50.0,38,0
1,5,14.0,0,3,1,1,0,0.0,0.0,45.0,38,1
1,3,16.0,2,9,4,1,1,0.0,0.0,60.0,38,1
1,3,9.0,5,7,1,0,0,0.0,0.0,20.0,38,0
0,0,5.0,2,4,4,0,1,0.0,0.0,40.0,38,0
1,3,7.0,2,13,4,1,1,0.0,2042.0,40.0,38,0
1,3,9.0,0,12,1,1,0,0.0,0.0,40.0,38,0
1,1,13.0,2,12,4,1,1,0.0,0.0,40.0,38,1
0,3,9.0,4,2,3,1,1,0.0,0.0,40.0,38,0
0,3,9.0,0,3,0,1,1,0.0,0.0,80.0,38,0
1,3,9.0,2,2,4,1,1,0.0,0.0,40.0,38,0
0,1,12.0,4,10,0,1,1,0.0,0.0,52.0,38,0
0,3,10.0,4,11,3,0,1,0.0,0.0,44.0,38,0
1,3,13.0,0,3,3,1,1,0.0,1408.0,40.0,38,0
0,0,10.0,2,0,3,1,1,0.0,0.0,40.0,38,0
0,6,10.0,2,7,4,0,1,0.0,0.0,15.0,38,0
1,3,7.0,4,6,1,1,1,0.0,0.0,40.0,32,0
0,3,10.0,4,6,3,1,1,0.0,0.0,40.0,38,0
0,3,9.0,1,0,5,1,0,0.0,0.0,25.0,38,0
1,5,12.0,2,9,4,1,1,0.0,0.0,40.0,38,0
0,3,5.0,2,6,4,1,1,0.0,0.0,43.0,38,0
1,5,13.0,2,9,4,1,1,0.0,0.0,40.0,38,0
0,3,13.0,2,12,4,1,1,0.0,0.0,50.0,38,0
1,3,9.0,5,0,1,1,0,0.0,0.0,40.0,38,0
0,3,9.0,4,5,0,1,1,0.0,0.0,35.0,38,0
1,0,13.0,2,9,4,0,1,0.0,0.0,40.0,38,1
1,3,9.0,2,6,4,1,1,0.0,0.0,38.0,38,0
1,3,14.0,0,3,1,1,0,0.0,0.0,40.0,38,0
1,6,11.0,2,2,4,1,1,0.0,0.0,40.0,38,0
0,3,11.0,4,9,0,1,1,0.0,0.0,43.0,38,0
0,3,10.0,2,3,5,0,0,0.0,0.0,40.0,38,0
1,3,15.0,2,9,5,1,0,0.0,1902.0,60.0,15,1
