dataset,method,fitness_rule,fitness,ACC,MCC,avg_odds_diff,stat_par_diff,eq_opp_diff,solution
adult_dataset_reader,mlp_featurewise_l2_initializer,mcc_parity,0.4171606570034556,0.852294085129906,0.5845314069645918,0.056375657944434,0.1673707499611361,0.0466646976920804,"{'l2': 0.001, 'dropout': 0.0005425576350191197}"
adult_dataset_reader,mlp_featurewise_l2_initializer,mcc_odds,0.4779458082885017,0.854947484798231,0.5910239063833015,0.1130780980947997,0.1943034305447029,0.1422163588390501,"{'l2': 0.0001, 'dropout': 0.08841363718146476}"
adult_dataset_reader,mlp_featurewise_l2_initializer,mcc_opportunity,0.5284326473875399,0.8506357103372029,0.5813974638873882,0.0682730276307853,0.1809173127719412,0.0529648164998483,"{'l2': 0.01, 'dropout': 0.046185236391007675}"
adult_dataset_reader,mlp_featurewise_l2_initializer,acc_parity,0.6730834905146513,0.8464344941956883,0.565677803729833,0.0763439709541859,0.1733510036810369,0.0789649094449704,"{'l2': 0.01, 'dropout': 0.06379557835926344}"
adult_dataset_reader,mlp_featurewise_l2_initializer,acc_odds,0.7885612626930236,0.8443338861249309,0.5616519217728912,0.0557726234319073,0.1778886076422543,0.0280791647167246,"{'l2': 0.001, 'dropout': 0.18923807752897498}"
adult_dataset_reader,mlp_featurewise_l2_initializer,acc_opportunity,0.7861827214164171,0.8452183526810393,0.5700467676455053,0.0690668121449326,0.1745514996773378,0.0590356312646221,"{'l2': 0.0001, 'dropout': 0.1530415078368436}"
bank_dataset_reader,mlp_featurewise_l2_initializer,mcc_parity,0.2326158846644244,0.8935716628402754,0.4951985933101016,0.1680611077498516,0.2625827086456772,0.1677756961043995,"{'l2': 0.001, 'dropout': 0.04295485674218985}"
bank_dataset_reader,mlp_featurewise_l2_initializer,mcc_odds,0.4478324541882734,0.9007871433256806,0.5516265398671735,0.1037940856789,0.2507487327672706,0.0787756438236577,"{'l2': 0.0001, 'dropout': 0.13805058881060966}"
bank_dataset_reader,mlp_featurewise_l2_initializer,mcc_opportunity,0.3123103961934022,0.8989832732043292,0.4990099462107092,0.1512209922108566,0.227331936226167,0.1866995500173069,"{'l2': 0.001, 'dropout': 0.14304282322820314}"
bank_dataset_reader,mlp_featurewise_l2_initializer,acc_parity,0.6810907387754802,0.894227615611676,0.5022718708552113,0.0907434294124744,0.2131368768361957,0.0824929683748371,"{'l2': 0.0001, 'dropout': 0.08903859725990874}"
bank_dataset_reader,mlp_featurewise_l2_initializer,acc_odds,0.8057505060351946,0.8988192850114791,0.5012216595543892,0.0930687789762845,0.1809331551837651,0.1028437190900098,"{'l2': 0.01, 'dropout': 0.10845368447118377}"
bank_dataset_reader,mlp_featurewise_l2_initializer,acc_opportunity,0.7978843801934785,0.9040669071826828,0.5363285557975065,0.1105967994993066,0.2113409178770641,0.1061825269892043,"{'l2': 0.001, 'dropout': 0.02576374721739591}"
compas_dataset_reader,mlp_featurewise_l2_initializer,mcc_parity,0.0213601689347098,0.6434359805510534,0.2549883555297856,0.2181443219121485,0.2336281865950757,0.1570517363571935,"{'l2': 0.0001, 'dropout': 0.0024122348331398202}"
compas_dataset_reader,mlp_featurewise_l2_initializer,mcc_odds,0.108311911035295,0.640194489465154,0.2799281889417749,0.1716162779064798,0.1917558750402804,0.1401880424300868,"{'l2': 0.01, 'dropout': 0.010709693757231815}"
compas_dataset_reader,mlp_featurewise_l2_initializer,mcc_opportunity,0.1752926229220824,0.6539708265802269,0.3004248980543575,0.1733520275497848,0.1901513387006704,0.1251322751322751,"{'l2': 0.0001, 'dropout': 0.1477516881092253}"
compas_dataset_reader,mlp_featurewise_l2_initializer,acc_parity,0.4467814010112855,0.6491085899513777,0.2835605927443507,0.2007288985301168,0.2023271889400921,0.1155039186535249,"{'l2': 0.001, 'dropout': 0.052724340752283765}"
compas_dataset_reader,mlp_featurewise_l2_initializer,acc_odds,0.431411209192636,0.660453808752026,0.3140347095197323,0.22904259955939,0.2388195258789174,0.1458613405031688,"{'l2': 0.0001, 'dropout': 0.18535299010115736}"
compas_dataset_reader,mlp_featurewise_l2_initializer,acc_opportunity,0.4441720078395595,0.640194489465154,0.2721431462913737,0.2475664883146744,0.2636227834714946,0.1960224816255944,"{'l2': 0.0001, 'dropout': 0.07687643368852654}"
german_dataset_reader,mlp_featurewise_l2_initializer,mcc_parity,0.377652207121284,0.77,0.430041913003637,0.0801271645021645,0.0523897058823529,0.0193452380952381,"{'l2': 0.01, 'dropout': 0.03224696773256788}"
german_dataset_reader,mlp_featurewise_l2_initializer,mcc_odds,0.2932640099825532,0.77,0.4091585441924857,0.1158945342099325,0.0883327199116673,0.0449500554938956,"{'l2': 0.0001, 'dropout': 0.17871656998054886}"
german_dataset_reader,mlp_featurewise_l2_initializer,mcc_opportunity,0.0471649292187009,0.685,0.2212345570698414,0.1477987028144591,0.1834011759384893,0.1740696278511405,"{'l2': 0.01, 'dropout': 0.16718246716538931}"
german_dataset_reader,mlp_featurewise_l2_initializer,acc_parity,0.6858644358644359,0.75,0.2388480743154825,0.0673817669785411,0.0641355641355641,0.0539554531490015,"{'l2': 0.0001, 'dropout': 0.05425479447306325}"
german_dataset_reader,mlp_featurewise_l2_initializer,acc_odds,0.6107554709945595,0.72,0.2192888472634853,0.1092445290054404,0.0667174023338407,0.0005012531328321,"{'l2': 0.01, 'dropout': 0.009594761645269956}"
german_dataset_reader,mlp_featurewise_l2_initializer,acc_opportunity,0.6948648648648649,0.75,0.3726061405304064,0.0442342342342342,0.0319749216300939,0.0551351351351351,"{'l2': 0.001, 'dropout': 0.07217250828846791}"
adult_dataset_reader,mlp_featurewise_l2_initializer,mcc_parity,0.3920748262191006,0.85085682697623,0.585625444304914,0.0947972526162006,0.1935506180858133,0.1078697009829532,"{'l2': 0.0001, 'dropout': 0.19538851996012888}"
adult_dataset_reader,mlp_featurewise_l2_initializer,mcc_odds,0.5050101401611801,0.8463239358761747,0.5784443415013021,0.0734342013401219,0.191141657620424,0.0606951046360886,"{'l2': 0.0001, 'dropout': 0.12286257206986759}"
adult_dataset_reader,mlp_featurewise_l2_initializer,mcc_opportunity,0.4337719930712816,0.8444444444444444,0.5722852939235937,0.1184149568444248,0.210195667004055,0.138513300852312,"{'l2': 0.001, 'dropout': 0.13348580313223657}"
adult_dataset_reader,mlp_featurewise_l2_initializer,acc_parity,0.6660034992540234,0.8490878938640133,0.5696871405705521,0.1088586486306427,0.1830843946099898,0.1393695354857617,"{'l2': 0.0001, 'dropout': 0.031023970130209202}"
adult_dataset_reader,mlp_featurewise_l2_initializer,acc_odds,0.7536997413827868,0.8449972360420122,0.5696068644595277,0.0912974946592253,0.1948066801394656,0.0946419352459621,"{'l2': 0.0001, 'dropout': 0.07660387746824626}"
adult_dataset_reader,mlp_featurewise_l2_initializer,acc_opportunity,0.748186827026808,0.844776119402985,0.5668000552240992,0.0940257236808854,0.1949127823935,0.0965892923761769,"{'l2': 0.0001, 'dropout': 0.0054671913177825465}"
bank_dataset_reader,mlp_featurewise_l2_initializer,mcc_parity,0.3149402801434408,0.8991472613971794,0.5062429032405796,0.1040625388264641,0.1913026230971388,0.1009208823617924,"{'l2': 0.001, 'dropout': 0.1793522346001784}"
bank_dataset_reader,mlp_featurewise_l2_initializer,mcc_odds,0.4405509407711442,0.9011151197113808,0.5124754194446224,0.0719244786734781,0.1768985528449337,0.060902595385354,"{'l2': 0.001, 'dropout': 0.19592020329978577}"
bank_dataset_reader,mlp_featurewise_l2_initializer,mcc_opportunity,0.3913680200885703,0.9039029189898328,0.5647527484292458,0.1405566083342897,0.2519107481642278,0.1733847283406755,"{'l2': 0.0001, 'dropout': 0.18632895677328654}"
bank_dataset_reader,mlp_featurewise_l2_initializer,acc_parity,0.6537566386423319,0.9006231551328304,0.502006021952599,0.1651578227502402,0.2468665164904984,0.1962088362826672,"{'l2': 0.001, 'dropout': 0.19321945775021376}"
bank_dataset_reader,mlp_featurewise_l2_initializer,acc_odds,0.7338522255540347,0.909970482125287,0.5406651654694322,0.1761182565712523,0.276692638844416,0.1606788171547518,"{'l2': 0.0001, 'dropout': 0.09979939310912497}"
bank_dataset_reader,mlp_featurewise_l2_initializer,acc_opportunity,0.6888444185548995,0.8991472613971794,0.4985319015077342,0.1623919935224078,0.2128305521142137,0.2103028428422798,"{'l2': 0.01, 'dropout': 0.16827612278224335}"
compas_dataset_reader,mlp_featurewise_l2_initializer,mcc_parity,0.0961242162109183,0.6523500810372771,0.286611989307387,0.1733564568950256,0.1904877730964687,0.1154629137900513,"{'l2': 0.01, 'dropout': 0.014061024482352358}"
compas_dataset_reader,mlp_featurewise_l2_initializer,mcc_odds,0.0554519367503179,0.619935170178282,0.2255045724723248,0.1700526357220069,0.1710071673709523,0.1119909502262443,"{'l2': 0.0001, 'dropout': 0.14756837412406826}"
compas_dataset_reader,mlp_featurewise_l2_initializer,mcc_opportunity,0.1212880875017637,0.6507293354943274,0.2924066509364184,0.2167580903547063,0.2280598680150026,0.1711185634346546,"{'l2': 0.001, 'dropout': 0.18610927923109602}"
compas_dataset_reader,mlp_featurewise_l2_initializer,acc_parity,0.4274388833296891,0.6385737439222042,0.261743273446171,0.1942205877842632,0.211134860592515,0.1400686005126596,"{'l2': 0.01, 'dropout': 0.04526974746553363}"
compas_dataset_reader,mlp_featurewise_l2_initializer,acc_odds,0.5004111812782646,0.6645056726094003,0.3147066281445836,0.1640944913311358,0.1888218751452609,0.105371715541207,"{'l2': 0.01, 'dropout': 0.022639697823434234}"
compas_dataset_reader,mlp_featurewise_l2_initializer,acc_opportunity,0.4595268896419625,0.6434359805510534,0.2664550716649818,0.1860831568245361,0.1973736314931283,0.1839090909090909,"{'l2': 0.001, 'dropout': 0.11604200582585131}"
german_dataset_reader,mlp_featurewise_l2_initializer,mcc_parity,0.1651120605184045,0.685,0.2315697407691882,0.0554732103645146,0.0664576802507836,0.023989898989899,"{'l2': 0.0001, 'dropout': 0.10688376230494784}"
german_dataset_reader,mlp_featurewise_l2_initializer,mcc_odds,0.2645508246464112,0.745,0.3479185577045467,0.0833677330581355,0.0668720318316006,0.1222910216718266,"{'l2': 0.001, 'dropout': 0.098576159351415}"
german_dataset_reader,mlp_featurewise_l2_initializer,mcc_opportunity,0.3754054430826027,0.775,0.388612990252414,0.0774371069182389,0.0891544117647058,0.0132075471698113,"{'l2': 0.001, 'dropout': 0.12093849180107773}"
german_dataset_reader,mlp_featurewise_l2_initializer,acc_parity,0.7610832645359122,0.775,0.3327619545728926,0.0336376858435681,0.0139167354640877,0.0107142857142856,"{'l2': 0.01, 'dropout': 0.021463289811125545}"
german_dataset_reader,mlp_featurewise_l2_initializer,acc_odds,0.6436608793505345,0.76,0.3645836710285025,0.1163391206494654,0.1611842105263158,0.0205570291777188,"{'l2': 0.001, 'dropout': 0.09099728398233306}"
german_dataset_reader,mlp_featurewise_l2_initializer,acc_opportunity,0.628581560283688,0.73,0.2750131528844227,0.0685663627152988,0.0848032564450474,0.101418439716312,"{'l2': 0.01, 'dropout': 0.0801493718114607}"
adult_dataset_reader,mlp_featurewise_l2_initializer,mcc_parity,0.4070211770469059,0.8499723604201216,0.5832464711184746,0.0650591203853201,0.1762252940715687,0.0559047066632382,"{'l2': 0.01, 'dropout': 0.051493281258688496}"
adult_dataset_reader,mlp_featurewise_l2_initializer,mcc_odds,0.481404338455678,0.8533996683250414,0.5810044932924975,0.0996001548368194,0.1898782462676171,0.1212798724720695,"{'l2': 0.0001, 'dropout': 0.12960827781508769}"
adult_dataset_reader,mlp_featurewise_l2_initializer,mcc_opportunity,0.4879816345757314,0.8504145936981757,0.584480808657897,0.0870963338362284,0.1864345674633007,0.0964991740821655,"{'l2': 0.001, 'dropout': 0.11102901705875425}"
adult_dataset_reader,mlp_featurewise_l2_initializer,acc_parity,0.6663868386159565,0.8517412935323383,0.5882057843503622,0.0765804353304353,0.1853544549163818,0.0797051597051596,"{'l2': 0.0001, 'dropout': 0.14399088266505858}"
adult_dataset_reader,mlp_featurewise_l2_initializer,acc_odds,0.753024591133867,0.8521835268103924,0.5877179314469773,0.0991589356765254,0.1881291441792591,0.1215305918695749,"{'l2': 0.001, 'dropout': 0.13713830651519565}"
adult_dataset_reader,mlp_featurewise_l2_initializer,acc_opportunity,0.6993846840235336,0.845771144278607,0.5634728354795212,0.1164886218805088,0.1963499694892238,0.1463864602550734,"{'l2': 0.0001, 'dropout': 0.07403404352229281}"
bank_dataset_reader,mlp_featurewise_l2_initializer,mcc_parity,0.2881278602873142,0.8994752377828796,0.5135023083231725,0.1308406394575651,0.2253744480358582,0.1677390393535837,"{'l2': 0.01, 'dropout': 0.049215618483283444}"
bank_dataset_reader,mlp_featurewise_l2_initializer,mcc_odds,0.3397033527066876,0.8979993440472286,0.4794858127658341,0.1397824600591465,0.2147463135199786,0.1674418604651162,"{'l2': 0.0001, 'dropout': 0.13992816584753676}"
bank_dataset_reader,mlp_featurewise_l2_initializer,mcc_opportunity,0.4329221640969776,0.9052148245326336,0.548637184350555,0.1201290083182834,0.2258171803121858,0.1157150202535773,"{'l2': 0.001, 'dropout': 0.1901229126884185}"
bank_dataset_reader,mlp_featurewise_l2_initializer,acc_parity,0.7357467579005138,0.8989832732043292,0.5142914518650845,0.0823084142040776,0.1632365153038154,0.0863817663817664,"{'l2': 0.01, 'dropout': 0.15860013049039356}"
bank_dataset_reader,mlp_featurewise_l2_initializer,acc_odds,0.8467273444494715,0.9065267300754346,0.5364025007034025,0.059799385625963,0.1673884611300602,0.0222007722007722,"{'l2': 0.0001, 'dropout': 0.16223105972890633}"
bank_dataset_reader,mlp_featurewise_l2_initializer,acc_opportunity,0.7102215900982346,0.9011151197113808,0.5130856602515066,0.1491833811079492,0.2340302216920171,0.1908935296131462,"{'l2': 0.001, 'dropout': 0.17970337692586083}"
compas_dataset_reader,mlp_featurewise_l2_initializer,mcc_parity,0.0886875962887742,0.6547811993517018,0.2956074323008605,0.1921011832094077,0.2069198360120863,0.1518929741536221,"{'l2': 0.0001, 'dropout': 0.13767930520975585}"
compas_dataset_reader,mlp_featurewise_l2_initializer,mcc_odds,0.1206645719014476,0.646677471636953,0.2851965670038587,0.164531995102411,0.1776512604067623,0.1134066145058321,"{'l2': 0.01, 'dropout': 0.002442475324016327}"
compas_dataset_reader,mlp_featurewise_l2_initializer,mcc_opportunity,0.1462354763086791,0.6418152350081038,0.2726176400725008,0.2221058105640813,0.2325066581684914,0.1263821637638216,"{'l2': 0.01, 'dropout': 0.11470142268249503}"
compas_dataset_reader,mlp_featurewise_l2_initializer,acc_parity,0.3918655888839211,0.6239870340356564,0.2366374685502014,0.2262165690085022,0.2321214451517352,0.1575686203460458,"{'l2': 0.01, 'dropout': 0.0636925379173402}"
compas_dataset_reader,mlp_featurewise_l2_initializer,acc_odds,0.5063136252743803,0.6523500810372771,0.2975271348171912,0.1460364557628968,0.1635803930854842,0.1019053630249118,"{'l2': 0.01, 'dropout': 0.07094882315780512}"
compas_dataset_reader,mlp_featurewise_l2_initializer,acc_opportunity,0.4493143756673092,0.6636952998379254,0.3206418610685081,0.2318907018934615,0.2705300161433895,0.2143809241706161,"{'l2': 0.0001, 'dropout': 0.14956154807388106}"
german_dataset_reader,mlp_featurewise_l2_initializer,mcc_parity,0.2976344135904026,0.79,0.380198765217406,0.0508928571428571,0.0825643516270033,0.0684523809523809,"{'l2': 0.001, 'dropout': 0.003741213079873962}"
german_dataset_reader,mlp_featurewise_l2_initializer,mcc_odds,0.2441791176953767,0.75,0.3761859997022587,0.132006882006882,0.052139037433155,0.0425685425685425,"{'l2': 0.001, 'dropout': 0.11942334194755956}"
german_dataset_reader,mlp_featurewise_l2_initializer,mcc_opportunity,0.3502340225737492,0.755,0.3598992748132589,0.1214992927864214,0.1336805555555555,0.0096652522395096,"{'l2': 0.01, 'dropout': 0.18373633658216446}"
german_dataset_reader,mlp_featurewise_l2_initializer,acc_parity,0.7689236111111112,0.775,0.3529727878091442,0.0282970318591136,0.0060763888888888,0.0313486219229959,"{'l2': 0.001, 'dropout': 0.14555296635959947}"
german_dataset_reader,mlp_featurewise_l2_initializer,acc_odds,0.6406177606177605,0.71,0.2997140200290999,0.0693822393822393,0.0826091993975206,0.0171428571428571,"{'l2': 0.001, 'dropout': 0.16079318010003035}"
german_dataset_reader,mlp_featurewise_l2_initializer,acc_opportunity,0.7645959595959596,0.805,0.4826216813949018,0.0404722904722905,0.056985294117647,0.0404040404040404,"{'l2': 0.01, 'dropout': 0.19081142939488405}"
